# PressureOS compact Simplified-Chinese pinyin lexicon
# Generated from Rime Luna Pinyin; see THIRD_PARTY_NOTICES.md
a	啊	吖
aa	啊啊
benkexuexiao	本科学校
benkezhuanye	本科专业
benlai	本来
benlaijiu	本来就
benlaijiushi	本来就是
benlaishi	本来是
benlaixiang	本来想
benling	本领
benlun	本轮
benluntan	本论坛
benneng	本能
benniandu	本年度
benpao	奔跑
benpian	本片	本篇
benpin	本品
benqi	本期
benqian	本钱
benren	本人
bensaiji	本赛季
bense	本色
benshen	本身
bensheng	本省
benshenjiushi	本身就是
benshi	本事	本市	本是
benshu	本书
benteng	奔腾
benti	本体	本题
bentian	本田
bentie	本帖
bentu	本土
bentuhua	本土化
benwang	本网
benwangzhan	本网站
benwen	本文
benxiang	本想	奔向
benxiao	本校
benxin	本心
benxing	本性
benye	本页
benyi	本意
benying	本应
benyiwei	本以爲
benyuan	本源
benyue	本月
benzhan	本站
benzhe	本着	奔着
benzhi	本质
benzhigongzuo	本职工作
benzhiqubie	本质区别
benzhishang	本质上
benzhou	本周
benzhuanye	本专业
benzhuo	笨拙
benzi	本子
benzuo	本作
bi	比	必	笔	逼	币	俾	碧	毕
bian	边	变	遍	编	辩	彼岸	鞭	辨
bianbi	便秘
bianbian	便便
bianbie	辨别
bianbu	遍布
biancha	变差
biancheng	变成	编程
bianchengle	变成了
bianchengnengli	编程能力
bianchengyuyan	编程语言
bianda	变大
biandao	编导
biande	变得	变的	编的
biandegenghao	变得更好
biandegengjia	变得更加
biandi	贬低	遍地
biandong	变动
biandu	边度
bianfa	变法
bianfeng	边锋
bianfu	蝙蝠
bianfuxia	蝙蝠侠
biange	变革	边个
biangeng	变更
bianhao	编号	变好
bianhouwei	边後卫
bianhu	辩护
bianhua	变化
bianhuan	变换
bianhui	便会	变回
bianji	编辑	边际
bianjiao	变焦
bianjibu	编辑部
bianjie	边界	便捷	辩解
bianjing	边境
bianjiqi	编辑器
bianju	编剧
biankaishi	便开始
bianke	便可
biankeyi	便可以
biankuang	边框
bianle	变了
bianli	便利
bianliang	变量
bianlidian	便利店
bianlu	边路
bianlun	辩论
bianma	编码
bianmi	便秘
bianmin	便民
bianneng	便能
bianpai	编排
bianpin	变频
bianping	扁平
bianqian	变迁
bianqiang	变强
bianqu	编曲
bianren	辨认
bianse	变色
bianshang	边上
bianshen	变身
bianshi	便是
bianshu	变数
biansuxiang	变速箱
biantai	变态
bianti	变体
bianwei	变爲
bianxian	变现
bianxiang	变相
bianxiao	变小
bianxie	编写	便携
bianxieshi	便携式
bianxing	变形	变性
bianxingjingang	变形金刚
bianyaqi	变压器
bianyi	便宜	编译	变异	贬义
bianyile	便宜了
bianyiqi	编译器
bianyou	便有
bianyu	便於
bianyuan	边缘
bianyuande	边缘的
bianyuanhua	边缘化
bianzao	编造
bianzheng	辩证
bianzhi	编制	贬值	编织	变质
bianzhong	变种
bianzi	辫子
biao	表	标	彪	飙
biaobai	表白
biaobang	标榜
biaoben	标本
biaoceng	表层
biaoda	表达
biaodachulai	表达出来
biaodade	表达的
biaodafangshi	表达方式
biaodai	表带
biaodale	表达了
biaodan	表单
biaodanengli	表达能力
biaodashi	表达式
biaodaziji	表达自己
biaodi	标的	表弟
biaogan	标杆
biaoge	表格	表哥
biaohan	彪悍
biaoji	标记
biaojia	标价
biaojie	表姐
biaojue	表决
biaomei	表妹
biaomian	表面
biaomianshang	表面上
biaoming	表明	标明
biaopan	表盘
biaopei	标配
biaopi	表皮
biaopu	标普
biaoqian	标签
biaoqing	表情
biaosheng	飙升
biaoshi	表示	标识	标示
biaoshu	表述	标书
biaotai	表态
biaoti	标题
biaoxian	表现
biaoxianchu	表现出
biaoxianchulai	表现出来
biaoxiande	表现的	表现得
biaoxiang	表象
biaoxianle	表现了
biaoxianli	表现力
biaoxianwei	表现爲
biaoxianxingshi	表现形式
biaoxianzai	表现在
biaoyan	表演
biaoyang	表扬
biaoyu	标语
biaozhang	表彰
biaozheng	表徵
biaozhi	标志	标识	标致
biaozhixing	标志性
biaozhizhe	标志着
biaozhong	表中
biaozhu	标注
biaozhun	标准
biaozhundaan	标准答案
biaozhunhua	标准化
biaozhunshi	标准是
biaozi	婊子
bibei	必备
bibi	笔笔
bibieren	比别人
bibijieshi	比比皆是
bibuguo	比不过
bibukeshao	必不可少
bibuliao	比不了
bibushang	比不上
bichu	笔触
bici	彼此
bicide	彼此的
bide	彼得	逼得
biding	必定
bidinghui	必定会
bidingshi	必定是
bidu	必读
biduan	弊端
bidui	比对
bie	别	憋
bieba	别把
biechu	别处
biede	别的
biege	别个
bieji	别急
biejia	别家
biekan	别看
bieke	别克
bielai	别来
biemai	别买
bieniu	别扭
biequ	憋屈	别去
bier	比尔
bierang	别让
bieren	别人
bierenjia	别人家
biergaici	比尔盖茨
bieshu	别墅
bieshuo	别说
bieti	别提
biewang	别忘
biewangle	别忘了
biexiang	别想
bieyang	别样
bieyiwei	别以爲
bieyou	别有
biezai	别再
biezhi	别致
bifang	比方
bifangshuo	比方说
bifen	比分
bige	逼格
biguonei	比国内
bihe	闭合
bihua	笔画	壁画
bihuan	闭环
biji	笔记
bijia	比价
bijian	比肩
bijiang	必将
bijiao	比较
bijiaocha	比较差
bijiaochang	比较长
bijiaochong	比较重
bijiaoda	比较大
bijiaodi	比较低
bijiaoduo	比较多
bijiaofengfu	比较丰富
bijiaofuza	比较复杂
bijiaogao	比较高
bijiaogaode	比较高的
bijiaogui	比较贵
bijiaohao	比较好
bijiaoheli	比较合理
bijiaoheshi	比较合适
bijiaojiandan	比较简单
bijiaokuai	比较快
bijiaokunnan	比较困难
bijiaoman	比较慢
bijiaomingxian	比较明显
bijiaonan	比较难
bijiaorongyi	比较容易
bijiaoruo	比较弱
bijiaoshao	比较少
bijiaowending	比较稳定
bijiaoxiao	比较小
bijiaoxihuan	比较喜欢
bijiaoyanchong	比较严重
bijiaoyanzhong	比较严重
bijiaozao	比较早
bijiaozhang	比较长
bijiaozhong	比较重
bijiasuo	毕加索
bijiben	笔记本
bijibendiannao	笔记本电脑
bijin	逼近
bijing	毕竟
bijingshi	毕竟是
bijini	比基尼
bikai	避开
bikan	必看
bikao	必考
bike	比克
bikong	鼻孔
bilei	壁垒
bili	比例
bilishi	比利时
bilv	比率
bimian	避免
bimianle	避免了
bimo	笔墨
bimu	闭幕
bin	斌	浜	彬	宾	滨
binfen	缤纷
bing	并	病	冰	兵	饼	丙	柄	炳
bingba	并把
bingbei	并被
bingbian	病变
bingbing	冰冰
bingbu	并不
bingbubi	并不比
bingbuda	并不大
bingbudaibiao	并不代表
bingbuduo	并不多
bingbuhao	并不好
bingbuhui	并不会
bingbunan	并不难
bingbuneng	并不能
bingburongyi	并不容易
bingbushi	并不是
bingbushihe	并不适合
bingbusuan	并不算
bingbuwanquan	并不完全
bingbuxiang	并不像	并不想
bingbuxuyao	并不需要
bingbuyiding	并不一定
bingbuzhidao	并不知道
bingcheng	秉承	并称
bingchonghai	病虫害
bingchuan	冰川
bingchuang	病牀
bingcun	并存
bingdao	冰岛
bingdong	冰冻
bingdu	病毒
bingdui	并对
bingfa	并发	兵法
bingfang	病房
